workers,threads,prompt_size,prompt_tokens,gen_tokens,ttft_ms,tpot_ms,throughput_prefill,throughput_decode,total_time_ms
12,10,S,62,753,1291.63,41.19,48.0,24.28,32304.03
12,10,S,514,421,12224.98,41.32,42.05,24.2,29619.74
12,10,S,232,444,6460.74,41.04,35.91,24.37,24683.04
12,10,M,508,544,11696.69,46.83,43.43,21.35,37171.61
12,10,M,457,925,10509.39,47.94,43.48,20.86,54849.82
12,10,M,361,789,7815.98,47.49,46.19,21.06,45285.36
12,10,L,1064,285,34214.24,64.75,31.1,15.44,52669.35
12,10,L,1013,304,30775.96,55.83,32.92,17.91,47747.97
12,10,L,778,226,23979.6,46.09,32.44,21.7,34395.9
12,20,S,689,285,28135.08,45.81,24.49,21.83,41192.16
12,20,S,466,338,11688.22,39.67,39.87,25.21,25096.06
12,20,S,306,469,6394.17,40.43,47.86,24.74,25354.38
12,20,M,719,736,20699.56,46.87,34.74,21.34,55194.37
12,20,M,901,843,27064.17,54.57,33.29,18.32,73069.41
12,20,M,1257,651,61462.6,53.61,20.45,18.65,96365.03
12,20,L,1114,321,44343.51,51.97,25.12,19.24,61024.98
12,20,L,1764,284,75646.89,62.04,23.32,16.12,93267.13
12,20,L,1380,264,55989.56,51.01,24.65,19.6,69455.84
12,30,S,424,421,20735.04,45.06,20.45,22.19,39704.29
12,30,S,162,376,3011.1,37.22,53.8,26.87,17006.85
12,30,S,289,318,6204.91,38.88,46.58,25.72,18568.87
12,30,M,432,813,10103.57,43.15,42.76,23.17,45185.63
12,30,M,421,496,10621.12,41.86,39.64,23.89,31383.54
12,30,M,744,786,21575.26,49.67,34.48,20.13,60615.01
12,30,L,1129,279,39204.31,56.44,28.8,17.72,54952.22
12,30,L,1069,281,34013.66,54.36,31.43,18.4,49287.49
12,30,L,956,227,29191.64,43.65,32.75,22.91,39101.29
12,40,S,406,405,18392.9,42.96,22.07,23.28,35791.67
12,40,S,215,284,4590.41,37.28,46.84,26.83,15177.24
12,40,S,446,325,10787.27,38.48,41.35,25.99,23291.7
12,40,M,621,780,16679.76,45.2,37.23,22.12,51939.3
12,40,M,727,771,21281.47,46.74,34.16,21.4,57315.39
12,40,M,919,542,29039.43,54.05,31.65,18.5,58335.29
12,40,L,968,330,30927.4,50.61,31.3,19.76,47629.0
12,40,L,1024,329,31435.54,53.74,32.57,18.61,49117.22
12,40,L,934,386,29046.4,44.06,32.16,22.69,46055.35
4,10,S,62,293,1092.79,30.76,56.74,32.51,10105.55
4,10,S,412,366,17735.61,36.13,23.23,27.68,30957.84
4,10,S,62,203,1304.72,33.58,47.52,29.78,8121.1
4,10,M,242,565,6903.89,35.13,35.05,28.46,26754.27
4,10,M,788,404,34998.41,40.88,22.52,24.46,51512.11
4,10,M,750,503,21097.03,40.62,35.55,24.62,41531.23
4,10,L,651,343,17571.29,49.69,37.05,20.12,34616.67
4,10,L,885,217,25296.39,46.1,34.99,21.69,35300.12
4,10,L,943,243,29470.84,46.45,32.0,21.53,40757.67
4,20,S,139,421,8520.58,37.14,16.31,26.93,24156.09
4,20,S,224,416,4688.31,29.67,47.78,33.7,17032.5
4,20,S,374,446,8134.58,30.82,45.98,32.44,21881.3
4,20,M,625,662,17569.09,36.23,35.57,27.6,41553.49
4,20,M,703,691,18475.78,38.58,38.05,25.92,45136.9
4,20,M,586,579,17850.66,39.07,32.83,25.59,40473.84
4,20,L,766,265,22246.2,39.68,34.43,25.2,32762.3
4,20,L,970,301,30515.38,41.11,31.79,24.32,42890.5
4,20,L,987,330,31567.74,49.91,31.27,20.04,48038.73
4,30,S,366,309,13032.02,34.73,28.08,28.79,23764.95
4,30,S,485,428,11167.69,37.27,43.43,26.83,27119.28
4,30,S,293,364,6517.12,35.08,44.96,28.51,19284.75
4,30,M,799,421,24018.1,43.72,33.27,22.87,42422.5
4,30,M,458,605,10895.37,39.64,42.04,25.23,34875.73
4,30,M,695,449,17638.95,47.98,39.4,20.84,39181.91
4,30,L,1510,296,54489.04,57.04,27.71,17.53,71372.67
4,30,L,1060,362,32170.48,45.34,32.95,22.05,48584.26
4,30,L,734,285,23119.9,53.97,31.75,18.53,38500.68
4,40,S,150,421,3945.41,31.92,38.02,31.32,17385.43
4,40,S,639,472,17795.87,34.96,35.91,28.6,34298.15
4,40,S,543,533,12715.4,38.77,42.7,25.79,33378.73
4,40,M,512,786,12283.96,38.06,41.68,26.28,42195.47
4,40,M,575,838,13153.71,42.56,43.71,23.5,48820.85
4,40,M,632,581,17662.83,44.17,35.78,22.64,43327.14
4,40,L,1047,292,31445.11,38.43,33.3,26.02,42667.94
4,40,L,1223,205,43630.23,42.84,28.03,23.34,52412.73
4,40,L,1005,271,32370.09,46.76,31.05,21.39,45042.22
8,10,S,62,357,1567.79,43.97,39.55,22.74,17264.21
8,10,S,62,300,1155.25,38.2,53.67,26.18,12615.11
8,10,S,501,196,11725.16,38.3,42.73,26.11,19231.37
8,10,M,634,598,25946.11,44.77,24.44,22.34,52716.88
8,10,M,526,918,17556.56,59.19,29.96,16.9,71891.91
8,10,M,516,1020,13141.24,60.24,39.27,16.6,74583.31
8,10,L,912,359,29969.15,55.29,30.43,18.09,49818.57
8,10,L,1329,278,49217.27,48.92,27.0,20.44,62818.26
8,10,L,1126,397,36299.61,50.61,31.02,19.76,56391.78
8,20,S,408,370,17014.05,39.31,23.98,25.44,31558.31
8,20,S,601,265,16641.63,37.77,36.11,26.47,26651.94
8,20,S,505,488,11410.65,42.84,44.26,23.34,32318.88
8,20,M,291,781,7581.68,43.58,38.38,22.95,41615.18
8,20,M,387,880,10046.37,51.02,38.52,19.6,54943.73
8,20,M,789,649,22249.97,46.77,35.46,21.38,52600.82
8,20,L,881,359,29272.76,46.09,30.1,21.7,45817.61
8,20,L,658,382,20126.92,49.84,32.69,20.06,39167.36
8,20,L,842,286,25016.53,49.49,33.66,20.2,39171.76
8,30,S,62,305,1042.4,33.52,59.48,29.83,11265.62
8,30,S,605,335,15749.36,37.62,38.41,26.58,28350.73
8,30,S,135,343,4864.89,41.94,27.75,23.84,19249.56
8,30,M,382,502,8999.93,40.44,42.44,24.73,29301.57
8,30,M,675,716,30506.27,50.51,22.13,19.8,66673.91
8,30,M,329,564,8263.51,44.82,39.81,22.31,33543.72
8,30,L,864,362,24263.08,49.05,35.61,20.39,42017.47
8,30,L,973,337,30544.52,47.59,31.86,21.01,46583.29
8,30,L,1085,362,33797.14,50.3,32.1,19.88,52007.53
8,40,S,177,517,3823.24,34.61,46.3,28.89,21717.44
8,40,S,325,344,10789.43,40.16,30.12,24.9,24603.05
8,40,S,368,279,8551.72,35.87,43.03,27.88,18558.2
8,40,M,504,711,11532.55,39.67,43.7,25.21,39737.94
8,40,M,557,420,12695.48,41.63,43.87,24.02,30178.28
8,40,M,1126,572,37714.94,52.52,29.86,19.04,67757.34
8,40,L,867,276,25715.9,51.01,33.71,19.6,39794.56
8,40,L,996,355,30311.8,56.15,32.86,17.81,50245.26
8,40,L,1079,379,33907.28,43.08,31.82,23.21,50235.56
